🦆,Song,Artist,Score,Year,F. Genre(s),B. Genre(s),All descriptors,Comments,BM,Language,Alt. Song Name(s),Alt. Artist Name(s),Notes,Attributes,Owned,Mixtape(s),Added,Conc,ID,Count,A+C,D#,Y#,CI,BC,TC,ID Explanation (for the ones that aren't immediately evident from the song or artist name)
✓,Dreams,Fleetwood Mac,4.8,1977,Soft Rock,Soft Rock; Pop Rock,catchy; soft; breakup; relaxation; bittersweet; melancholic; calm; lonely; ballad; soothing; angry,"I've been floating around the idea of making a Top 100 Favorite Songs list for as long as I've been on RYM (since 2017), and on every single wildly varying iteration I came up with, this was ALWAYS #1, as if it were as obvious a truth in my mind as oxygen. / The one-sentence blurb is that it's a gentle breeze of a song with a devastating hurricane of a lyric, easily taking the crown as the best song in the ""happy sound/sad lyric"" canon. But even if I completely tuned out these phenomenal lyrics, I would still adore how much this song perfected the soft rock sound, creating such a dreamy and ethereal atmosphere with nothing but the typical rock band setup. I would still adore how Stevie Nicks sounds like an angel trying her best not to cut a bitch (even without processing the lyrics, you can still sense the tremors). I would still adore how the band members seem similarly at ease while also threatening to burst at any moment. Those cymbal crashes, especially, are like ocean waves crashing on a California beach. / I would still adore how like the oceans (spilled oil and plastic aside), every note, every second of this song just feels so natural. It all just flows together effortlessly like it was always meant to be that way, despite being infamously borne from strife. No other song has the pieces fit quite this flawlessly. No doubt, Fleetwood Mac's ""Dreams"" is my favorite song of all time","""Now here I go again, I see the crystal visions. I keep my visions to myself. It's only me who wants to wrap around your dreams and... have you any dreams you'd like to sell?""",English,,,,,$-GPM,,2020-12-31,Fleetwood Mac - Dreams,,00001,2020-12-31 00001,1,1,,#fcf5e3,#000000,
✓,Lights,Ellie Goulding,4.9,2010,Synthpop; Electropop,Synthpop; Electropop; Electronic; Pop,ethereal; bright; nostalgic; starry night; melancholic; soft; relaxation; bittersweet; introspective; soothing; peaceful; poetic; celebration; anthemic; family,"For a song that very distantly predates the point in my life when I finally got into music, I'm really surprised that I still haven't found another song that captures the same particular magical dream world this one does. Any time I see this song, I think ""No way this is my #2 favorite song ever, the nostalgia isn't that strong,"" but then I listen to it at any mood, at any time of day, and I'm teleported to a different place entirely. And as someone who's gotten increasingly less nostalgic about the past for a variety of reasons, it's incredible how this has aged so well that for three and a half minutes, I'm reminded of the brighter side of nostalgia and what makes it so valuable in the first place. For some of my favorite songs, I've mentioned how they can sometimes conjure a picture show of memories in my mind. Well, if ""Thinking of a Place"" is for road trip and adventure-related memories and ""Dragon New Warm Mountain I Believe in You"" is for all the beautiful and precious things I've seen (especially in nature), then ""Lights"" is for all the people I cherish the most, all the places I would visit annually for holidays, and all the formative events that occurred there or in auditoriums I would visit for one golden occasion and then never again. The best, most celebratory light show of all time","""And I think back to when my brother and my sister slept in an unlocked place. The only time I feel safe.""",English,,,[prog] Complete Descriptors,,$-GPM,,2020-12-31,Ellie Goulding - Lights,,00002,2020-12-31 00002,,,,#741b47,#ead1dc,
✓,Simulation Swarm,Big Thief,5.0,2022,Indie Rock,Indie Rock; Alternative Rock,soft; poetic; yearning; catchy; relaxation; nostalgic; introspective; family; nature; uplifting; bittersweet; melancholic; pastoral; soothing; fantasy; starry night; celebration; resolute; epic; forest; Spring; Autumn; mysterious; complex; apocalypse; adventure; ethereal; surreal; peaceful; aerial,"A wrinkled canvas cluttered with brushstrokes of Lenker’s imagination, conjuring hard pastel drawings ranging from the stark (""empty horses"", ""last human teachers"") to the vibrant and colorful (""pale green tree"", ""river of light""), with a chorus reminiscent of ""Jesus, etc."" in its celebration of human connection and finding shoulders to lean on even as the world crumbles. Meanwhile, the rest of the band anchors the dream world to something more tactile with their crisp, hypnotic, well-measured performances; this song courses through two phenomenal guitar solos like they're NOTHING, it's insane. A high watermark for folk music (and imagination in general) with very few competitors this decade. And I have no doubt that it’s the best song that casually talks about building an energy shield in your room. / P.S. As of writing, YouTube’s top comment for this song concisely describes it as “the hardest-going softest song ever.” You know the one other song I’d also describe that way? “Dreams” by Fleetwood Mac. / P.P.S. This is a condensed version of my writeup for Popheads' Top 100 Tracks of 2022","""Little Andy, soft in your newborn skin. Only one, little Andy, will you return again? I believe we can renew, and you could be my brother. Once again, fall asleep with our backs against each other"" + ""I'd fly to you tomorrow, I'm not fighting in this war. I wanna drop my arms and take your arms and walk you to the shore"" (especially in its final repetition, when the song feels like it's soaring)",English,,,"Seen live x2 - Once by Big Thief, once by Adrianne solo; Comment here is a condensed version of my writeup for Popheads Top 100 (Source: Medium)",,$-CD Rip,,2022-01-19,Big Thief - Simulation Swarm,231,00003,2022-01-19 00003,,,,#efefef,#000000,"Lyric: ""From the thirty-first floor of the Simulation Swarm."""
✓,Kiss of Life,Sade,4.9,1992,Smooth Soul; Sophisti-Pop,Smooth Soul; Sophisti-Pop; R&B,luxurious; lush; love; sensual; soft; relaxation; soothing; calm; happy; peaceful; night; late night; ballad; passionate; rainy; low energy; smooth,"Sade's finest, most touching moment, in which the goddess of love soothes your soul and sings you to sleep. And while ""Smooth Operator"" evokes luxurious locations like five star hotels, ""Kiss of Life"" lets all the images of luxury, all the love, all the shine in the world come straight from the heart. Purity in musical form","""When I was led to you, I knew you were the one for me. I swear the whole world could feel my heartbeat."" The sax in the background is also godlike",English,,,,,$-iTunes,,2020-12-31,Sade - Kiss of Life,,00004,2020-12-31 00004,1,1,1,#ffffff,#783f04,
✓,Last Train Home,Pat Metheny Group,5.0,1987,Jazz Fusion,Jazz Fusion,celebration; soothing; adventure; soft; uplifting; happy; sunset; Metheny Sound; ECM Style; relaxation; bittersweet; late night; calm; peaceful; urban night; epic; pastoral; nostalgic; introspective; passionate; rhythmic; ethereal; smooth; luxurious; lush; optimistic; Summer,"They often say the journey is better than the destination, but if it's not a one-way trip (and it's not, like, the Trojan War or something) and you're able to take a train or something close enough, the journey BACK is a huge treat. It's a bittersweet, yet relaxing and celebratory time, looking out the window and revisiting all the people and places on your journey, reflecting on everything that got you to this moment. Metheny has become my favorite post-'70s jazz artist because of his ability to capture the more precious sentiments of life like these without words, and in such a soothing way that's both spotlessly slick and world-weary at the same time. A song that could work as a credits roll to the Weather Channel as well as a genuinely profound journey / P.S. Also, he loves trains, which are awesome, so bonus points for that / P.P.S. I haven't seen *that show* this song is often associated with yet (full disclosure: I discovered this song and thus Metheny in general from the Smooth Jazz charts, back when this was still tagged Smooth Jazz), though at this point I don't know if I ever will because it will ruin this song in my mind /// New version on 2023-08-26: The best encapsulation of ""looking out the train window and thinking about stuff,"" enhanced by this feeling that you just finished a very long and tiring, yet fulfilling journey. Bittersweet, yet relaxing and ultimately a celebration of what you've accomplished, all the places you've been, all the people you've met. But this song has a kind of serenity to it that feels hard-fought, like you've just achieved world peace after decades of strife and are now taking a blissful, well-earned rest. Metheny has become my favorite post-'70s jazz artist because of his ability to capture the more precious sentiments of life like these without words, and in such a soothing way that's both spotlessly slick and world-weary at the same time. A song that could work as a credits roll to the Weather Channel as well as a genuinely profound, life-changing journey. Also, I really appreciate this guy's love for trains",When the choir sings,Instrumental,,,Seen live - Pat Metheny solo,,$-iTunes [ Multiple Copies ],,2020-12-31,Pat Metheny Group - Last Train Home,,00005,2020-12-31 00005,1,1,,#03d6bb,#000000,
✓,Wichita Lineman,Glen Campbell,5.0,1968,Nashville Sound,Nashville Sound; Country Pop; Northern American Music; Regional Music,yearning; lush; melancholic; existential; soft; love; introspective; relaxation; philosophical; ethereal; epic; passionate; bittersweet; lonely; pastoral; soothing; poetic; sad; narrative; sulking; adventure,"A skyscraping song of loneliness and longing, a classic literature-tier short story of a simple blue collar everyman with a deep ache in his soul. The grandest song of all time takes place at a power line in the middle of nowhere, underneath an arrestingly clear, beautiful blue sky. As far as the sound goes, this is where country music AND Spector's Wall of Sound peaked. How lovely that the best country song is actually set in the remote countryside","""And I need you more than want you. And I want you for all time. And the Wichita lineman is still on the line."" + ""I know I need a small vacation, but it don't look like rain.""",English,,,"Seen live - Covered by Pat Metheny; Multiple versions of this in the library (see next note); Owned on iTunes and 7digital (2001 Remastered Version from iTunes, 2009 Greatest Hits Version from 7digital)",,$-iTunes / $-7digital,Mx: Songs for a Wichita Lineman,2020-12-31,Glen Campbell - Wichita Lineman,316,00006,2020-12-31 00006,,,,#45818e,#c9daf8,"The area code for Wichita, Kansas is 316"
✓,Xtal,Aphex Twin,4.5,1992,Amb–ent Techno,Amb–ent Techno; EDM; Dance; Electronic,ethereal; bright; ECM Style; soothing; peaceful; melancholic; relaxation; futuristic; starry night; calm; bittersweet; mechanical; icy; lush; aerial; Metheny Sound; rhythmic,"The closest virtual instruments have come to conjuring a perfect world, featuring a formless angel singing in the spotless sky","The ""Evil at Play"" sample of the woman singing. It almost feels wrong to say it's a sample, honestly",Instrumental,,,,,$-iTunes,,2020-12-31,Aphex Twin - Xtal,85,00007,2020-12-31 00007,1,1,1,#ffffff,#000000,From the album 'Selected Ambient Works 85-92'
✓,Deacon Blues,Steely Dan,4.5,1977,J–zz-Rock; Soft Rock; Yacht Rock,J–zz-Rock; Soft Rock; Yacht Rock; Pop Rock,luxurious; lush; bittersweet; urban night; soft; death; introspective; resolute; celebration; passionate; anthemic; poetic; sports; sunset; sunny day; progressive; smooth,The ultimate ode to ambitious losers,"The absolute poetry of the phrase ""They got a name for the winners in the world. I want a name when I lose."" Arguably more powerful than any lyric in any song about victory or triumph + ""I cried when I wrote this song. Sue me if I play too long. This brother is free. I'll be what I want to be."" + ""I'll rise when the sun goes down. Cover every game in town. A world of my own. I'll make it my home sweet home""",English,,,,,$-vinyldl,Mx: Songs for a Wichita Lineman,2020-12-31,Steely Dan - Deacon Blues,,00008,2020-12-31 00008,1,1,,#000000,#ff0000,
✓,Move On Up,Curtis Mayfield,4.5,1970,Chicago Soul,Chicago Soul; R&B,uplifting; optimistic; happy; lush; sunny day; bright; celebration; resolute; anthemic; triumphant; urban; passionate; conscious; epic; adventure; party; energetic; fun; progressive,The ultimate ode to ambitious winners,"""Just move on up! To a greater day! With just a little faith If you put your mind to it, you can surely do it!"" Pretty much as cliched as possible on paper, but when delivered by Curtis Mayfield and underscored by those horns, it feels revitalized, brand new again",English,,,,,$-download,,2020-12-31,Curtis Mayfield - Move On Up,,00009,2020-12-31 00009,1,1,,#990000,#ffe599,
✓,"Jesus, etc.",Wilco,4.9,2002,Chamber Pop; Alt-Country,Chamber Pop; Alt-Country; Indie Pop; Northern American Music; Regional Music,soft; poetic; relaxation; existential; sunset; love; optimistic; calm; religious; philosophical; peaceful; melancholic; bittersweet; urban; starry night; twee; slice of life; yearning; music; ballad; low energy,The musical representation of a shoulder to lean on. An effortlessly powerful song about the solace people find in one another,"""You were right about the stars. Each one is a setting sun."" One of my favorite lyrics of all time",English,,,Seen live,,$-iTunes [ Multiple Copies ],Mx: Songs for a Wichita Lineman; Mx: Gold Ranch,2020-12-31,"Wilco - Jesus, etc.",888,00010,2020-12-31 00010,1,1,1,#e7e0c4,#000000,"In some Christian numerology, the number 888 represents Jesus, or sometimes specifically Christ the Redeemer"
